user_id,default_prob
55597,0.0372455939651
55598,0.0405668541789
55599,0.0344906337559
55600,0.0708535984159
55601,0.0912045836449
55602,0.13872872293
55603,0.271444797516
55604,0.0366086140275
55605,0.141583234072
55606,0.0675096213818
55607,0.0254723448306
55608,0.044460799545
55609,0.0707216635346
55610,0.03155297786
55611,0.225712135434
55612,0.0583168081939
55613,0.46366199851
55614,0.0268208645284
55615,0.0514410026371
55616,0.0600592568517
55617,0.068900346756
55618,0.154102355242
55619,0.264953076839
55620,0.0708035901189
55621,0.334617942572
55622,0.0815804377198
55623,0.387639194727
55624,0.0419521853328
55625,0.0642626807094
55626,0.315232038498
55627,0.220115154982
55628,0.0876826867461
55629,0.142860770226
55630,0.0457948632538
55631,0.0269794370979
55632,0.0142948618159
55633,0.119201876223
55634,0.294726908207
55635,0.0514979027212
55636,0.323152184486
55637,0.170560836792
55638,0.16391903162
55639,0.0864341631532
55640,0.139505386353
55641,0.379633903503
55642,0.0614764988422
55643,0.0243007428944
55644,0.081859305501
55645,0.0462363958359
55646,0.012746874243
55647,0.326400786638
55648,0.0802975520492
55649,0.0548546351492
55650,0.0909975767136
55651,0.0791841745377
55652,0.0671231970191
55653,0.0914350524545
55654,0.107494436204
55655,0.0429973565042
55656,0.239656224847
55657,0.0811926051974
55658,0.0622112229466
55659,0.138155221939
55660,0.0655338019133
55661,0.0982659831643
55662,0.0805490761995
55663,0.0723030120134
55664,0.247215807438
55665,0.127918317914
55666,0.0683819204569
55667,0.0958605855703
55668,0.0473035685718
55669,0.2846339643
55670,0.148415699601
55671,0.0717414915562
55672,0.0952265113592
55673,0.113956108689
55674,0.0973373651505
55675,0.294093996286
55676,0.0777313262224
55677,0.0814506560564
55678,0.170482620597
55679,0.0677956864238
55680,0.0966197699308
55681,0.021509885788
55682,0.140205651522
55683,0.0969225242734
55684,0.0366637222469
55685,0.455999553204
55686,0.115325108171
55687,0.214530527592
55688,0.191562056541
55689,0.0447030737996
55690,0.0231658108532
55691,0.0516255944967
55692,0.208449169993
55693,0.114408403635
55694,0.11338224262
55695,0.0683580040932
55696,0.0586174950004
55697,0.0148613099009
55698,0.109203912318
55699,0.0330190621316
55700,0.196731448174
55701,0.351409494877
55702,0.0761610418558
55703,0.233529090881
55704,0.022149566561
55705,0.0814935341477
55706,0.212552785873
55707,0.0943066030741
55708,0.0237258374691
55709,0.241180360317
55710,0.0920970886946
55711,0.0974016338587
55712,0.144624769688
55713,0.102444559336
55714,0.00985607132316
55715,0.105446584523
55716,0.145572513342
55717,0.130809679627
55718,0.0218633525074
55719,0.147112593055
55720,0.0366274192929
55721,0.0180830080062
55722,0.0924453213811
55723,0.0740077570081
55724,0.0422156602144
55725,0.172342926264
55726,0.228642046452
55727,0.264273434877
55728,0.451109141111
55729,0.0968316569924
55730,0.0204287786037
55731,0.0634087100625
55732,0.148645222187
55733,0.0621766783297
