userid,probability
55597,0.0373363047838
55598,0.0398941151798
55599,0.0431678704917
55600,0.0702755898237
55601,0.0978573188186
55602,0.157229468226
55603,0.28864133358
55604,0.0374060422182
55605,0.12632215023
55606,0.0680239275098
55607,0.0231897458434
55608,0.0466481037438
55609,0.096718788147
55610,0.0433037765324
55611,0.188266247511
55612,0.0524303466082
55613,0.526023685932
55614,0.0185039695352
55615,0.0423373766243
55616,0.0609134733677
55617,0.0726765394211
55618,0.15921767056
55619,0.271306812763
55620,0.070960752666
55621,0.333550065756
55622,0.0740675777197
55623,0.437739819288
55624,0.042380746454
55625,0.0671462416649
55626,0.301543772221
55627,0.197399675846
55628,0.0763219818473
55629,0.12638668716
55630,0.0494201183319
55631,0.0304521098733
55632,0.0126251270995
55633,0.12683339417
55634,0.317957937717
55635,0.0547793097794
55636,0.296903610229
55637,0.135543361306
55638,0.161734387279
55639,0.0522676594555
55640,0.160484433174
55641,0.28836748004
55642,0.0747830271721
55643,0.0229138638824
55644,0.0814501792192
55645,0.0357945337892
55646,0.0180171113461
55647,0.347951829433
55648,0.0668833255768
55649,0.0465987063944
55650,0.101427532732
55651,0.0961175486445
55652,0.0675973594189
55653,0.0981917753816
55654,0.13053624332
55655,0.0488268658519
55656,0.1659501791
55657,0.0906028226018
55658,0.066767655313
55659,0.149595305324
55660,0.0507589168847
55661,0.112239576876
55662,0.0809679627419
55663,0.087554179132
55664,0.285504430532
55665,0.136627793312
55666,0.0808781906962
55667,0.081008374691
55668,0.0462580621243
55669,0.288926690817
55670,0.144742801785
55671,0.0826262012124
55672,0.0939836427569
55673,0.107890151441
55674,0.122600458562
55675,0.31843110919
55676,0.0740477964282
55677,0.0844760462642
55678,0.162110075355
55679,0.0610782504082
55680,0.0949805155396
55681,0.0211906470358
55682,0.145085334778
55683,0.0993735715747
55684,0.0481613650918
55685,0.435195177794
55686,0.0925027430058
55687,0.209073320031
55688,0.19699883461
55689,0.0381961204112
55690,0.0219935365021
55691,0.0399313084781
55692,0.211100146174
55693,0.165014892817
55694,0.0964368730783
55695,0.0612755976617
55696,0.0616296082735
55697,0.0198290124536
55698,0.121985144913
55699,0.0421810373664
55700,0.204183295369
55701,0.376296639442
55702,0.0771370306611
55703,0.267942041159
55704,0.022749947384
55705,0.0929690301418
55706,0.166209250689
55707,0.0821163505316
55708,0.0209078546613
55709,0.233386933804
55710,0.0830081403255
55711,0.0946782752872
55712,0.137189850211
55713,0.122599974275
55714,0.0170336160809
55715,0.130570203066
55716,0.156686738133
55717,0.135497272015
55718,0.0177578441799
55719,0.160361453891
55720,0.028707396239
55721,0.0217936653644
55722,0.0898040160537
55723,0.076787635684
55724,0.0394358634949
55725,0.1925342381
55726,0.215479582548
55727,0.318520784378
55728,0.463022470474
55729,0.124528668821
55730,0.0225241761655
55731,0.0556762740016
55732,0.181393265724
55733,0.0748329237103
55734,0.129374951124
55735,0.0723834112287
55736,0.15309292078
55737,0.0196666121483
55738,0.094342045486
55739,0.0969372838736
55740,0.116474434733
55741,0.0332324244082
55742,0.0193708203733
55743,0.0441307835281
55744,0.0892606750131
55745,0.0355216674507
55746,0.0375664159656
55747,0.0988024175167
55748,0.0853004977107
55749,0.109743706882
55750,0.0277538541704
55751,0.13042512536
55752,0.14465855062
55753,0.0659710019827
55754,0.0215220153332
55755,0.0617409832776
55756,0.155173197389
55757,0.120822310448
55758,0.0495891720057
55759,0.0741089582443
55760,0.149191528559
55761,0.0940069109201
55762,0.0665173530579
55763,0.176374197006
55764,0.058767799288
55765,0.645731806755
55766,0.0502144545317
55767,0.166784480214
55768,0.659594357014
55769,0.105010204017
55770,0.098000369966
55771,0.254415333271
55772,0.106162913144
55773,0.102466389537
55774,0.295423775911
55775,0.164718523622
55776,0.00503978971392
55777,0.0793928280473
55778,0.265689194202
55779,0.218886002898
55780,0.0217191111296
55781,0.127657711506
55782,0.214530274272
55783,0.0242836773396
55784,0.0814431905746
55785,0.0199524015188
55786,0.0390128716826
55787,0.0451940856874
55788,0.0692814216018
55789,0.0782606005669
55790,0.0830408483744
55791,0.0638746321201
55792,0.204102739692
55793,0.0482672639191
55794,0.545867919922
55795,0.0711087137461
55796,0.136193543673
55797,0.175461620092
55798,0.167117774487
55799,0.0571759790182
55800,0.118769042194
55801,0.0235432088375
55802,0.213488593698
55803,0.170519024134
55804,0.135306328535
55805,0.142854839563
55806,0.292451053858
55807,0.100291490555
55808,0.0984671860933
55809,0.115365557373
55810,0.25533297658
55811,0.191421195865
55812,0.10667771101
55813,0.0520213469863
55814,0.0615805201232
55815,0.0597950331867
55816,0.130363017321
55817,0.0645103305578
55818,0.0873725488782
55819,0.222167178988
55820,0.0732617676258
55821,0.114339113235
55822,0.353026002645
55823,0.0296382457018
55824,0.0871843546629
55825,0.0204443763942
55826,0.0359089970589
55827,0.052155867219
55828,0.238269209862
55829,0.0603200346231
55830,0.0378983393312
55831,0.161389961839
55832,0.0699087232351
55833,0.0867664068937
55834,0.631612241268
55835,0.105603657663
55836,0.0814618989825
55837,0.0603591278195
55838,0.0282193273306
55839,0.21173992753
55840,0.0369316078722
55841,0.225409835577
55842,0.362970560789
55843,0.0441328622401
55844,0.124503828585
55845,0.212697640061
55846,0.0954804047942
55847,0.0649541467428
55848,0.140761271119
55849,0.0669978559017
55850,0.0670055523515
55851,0.151480481029
55852,0.0260968543589
55853,0.0424738004804
55854,0.160211399198
55855,0.0276655871421
55856,0.0540040507913
55857,0.0772654861212
55858,0.144538491964
55859,0.0344166494906
55860,0.0658813714981
55861,0.0417483970523
55862,0.0225588846952
55863,0.0494794026017
55864,0.061118748039
55865,0.0087781380862
55866,0.148252546787
55867,0.0455026403069
55868,0.358754873276
55869,0.0209068972617
55870,0.127941042185
55871,0.120433226228
55872,0.0278972834349
55873,0.275567054749
55874,0.00465458631516
55875,0.0900349393487
55876,0.0625864565372
55877,0.0371484644711
55878,0.00926472153515
55879,0.159538090229
55880,0.0691745877266
55881,0.0607888065279
55882,0.305558681488
55883,0.039730053395
55884,0.240181967616
55885,0.28557112813
55886,0.562641382217
55887,0.0419561341405
55888,0.355994641781
55889,0.19722750783
55890,0.0988691076636
55891,0.0501465797424
55892,0.0355378687382
55893,0.0839654281735
55894,0.104187950492
55895,0.162034034729
55896,0.120179250836
55897,0.0323583632708
55898,0.121294341981
55899,0.152709901333
55900,0.188990473747
55901,0.0842444226146
55902,0.123369343579
55903,0.0433498062193
55904,0.05738709867
55905,0.0491692982614
55906,0.274064332247
55907,0.114296175539
55908,0.0423192866147
55909,0.0671962350607
55910,0.139530420303
55911,0.100826367736
55912,0.0301903542131
55913,0.302187174559
55914,0.115235447884
55915,0.0769238397479
55916,0.101185329258
55917,0.102918893099
55918,0.170902505517
55919,0.0650794580579
55920,0.0257036630064
55921,0.111110426486
55922,0.106077328324
55923,0.0976202115417
55924,0.0309733822942
55925,0.0829663574696
55926,0.0733482390642
55927,0.0340919457376
55928,0.244900301099
55929,0.182060837746
55930,0.288220256567
55931,0.36630615592
