userid,probability
55597,0.256780713797
55598,0.0339552722871
55599,0.033079624176
55600,0.165834650397
55601,0.216835871339
55602,0.0892729386687
55603,0.275947183371
55604,0.014423917979
55605,0.231197163463
55606,0.0750869736075
55607,0.0105553679168
55608,0.0118174236268
55609,0.163474902511
55610,0.0857932418585
55611,0.0634462982416
55612,0.0164768733084
55613,0.668140053749
55614,0.00965812243521
55615,0.0832198113203
55616,0.0909083783627
55617,0.0104814032093
55618,0.0313169658184
55619,0.0530765131116
55620,0.0272601731122
55621,0.0644934028387
55622,0.132913917303
55623,0.0885416939855
55624,0.0117299212143
55625,0.0169729739428
55626,0.0983804687858
55627,0.209154456854
55628,0.129576414824
55629,0.0232015121728
55630,0.0619398504496
55631,0.00923381093889
55632,0.00501855369657
55633,0.0709415748715
55634,0.411574035883
55635,0.0232417676598
55636,0.380085468292
55637,0.037155482918
55638,0.288516193628
55639,0.0305634941906
55640,0.032487925142
55641,0.304782956839
55642,0.0231460668147
55643,0.0324018076062
55644,0.109586231411
55645,0.0560848191381
55646,0.00688031967729
55647,0.394898593426
55648,0.00900795683265
55649,0.124429091811
55650,0.270592242479
55651,0.0171514600515
55652,0.0967098176479
55653,0.0776655822992
55654,0.230702713132
55655,0.0898862481117
55656,0.319504052401
55657,0.157927647233
55658,0.0423636138439
55659,0.210343331099
55660,0.0453765131533
55661,0.206058472395
55662,0.208010017872
55663,0.123987652361
55664,0.0464266650379
55665,0.0156489368528
55666,0.0442452766001
55667,0.0132756493986
55668,0.00718864705414
55669,0.372990727425
55670,0.251081705093
55671,0.152837231755
55672,0.0330075472593
55673,0.0981036648154
55674,0.128844454885
55675,0.358512014151
55676,0.112875364721
55677,0.102921493351
55678,0.0324018374085
55679,0.168130561709
55680,0.0142539748922
55681,0.0237077791244
55682,0.174069061875
55683,0.025815570727
55684,0.0168669838458
55685,0.511234104633
55686,0.128391742706
55687,0.289369106293
55688,0.311146378517
55689,0.0183782558888
55690,0.0039979647845
55691,0.0159137602895
55692,0.233512610197
55693,0.132026448846
55694,0.0436596833169
55695,0.106995463371
55696,0.0416958369315
55697,0.0219605080783
55698,0.0359073206782
55699,0.00923640653491
55700,0.233857527375
55701,0.268624901772
55702,0.0143976071849
55703,0.270037978888
55704,0.0169350821525
55705,0.018393183127
55706,0.556363999844
55707,0.129828676581
55708,0.0136672891676
55709,0.229431509972
55710,0.10339332372
55711,0.171667858958
55712,0.0327903442085
55713,0.197006642818
55714,0.00321528734639
55715,0.0087766032666
55716,0.0149016659707
55717,0.0865253061056
55718,0.00945780612528
